Ubigeo;Fecha-Actualizacion;Departamento;Provincia;Distrito;Ruc;Proveedor;Modalidad;DomicilioLegal;CorreoElectronico;Telefono
60101;2021-03-12;CAJAMARCA;CAJAMARCA;CAJAMARCA;20603109113;CONSORCIO AMANCAY3;PRODUCTOS;URB. HORACIO ZEVALLOS/ JR. MANUEL GONZALES #129;aguilera3ljl@gmail.com;949799127
60101;2021-03-12;CAJAMARCA;CAJAMARCA;CAJAMARCA;20603535040;CONSORCIO IKIGAI;PRODUCTOS; JR. LOS NOGALES N°374;consorcioikigai@gmail.com;76261042
60111;2021-03-12;CAJAMARCA;CAJAMARCA;NAMORA;10426055983;CONSORCIO NORPERUANO;PRODUCTOS;MZ A, CASERIO CASA BLANCA;piano2508@hotmail.com;
60801;2021-03-12;CAJAMARCA;JAEN;JAEN;10278495723;CONSORCIO SANTA ROSA;PRODUCTOS;Jr. ABRAHAM VALDELOMAR N°185-JAEN;horacioramirez8@hotmail.com;76785156
60801;2021-03-12;CAJAMARCA;JAEN;JAEN;20479761974;CONSORCIO TPS;PRODUCTOS;CALLE VISTA ALEGRE N° 111;arpermigaeirl@gmail.com;76269663
60801;2021-03-12;CAJAMARCA;JAEN;JAEN;20480099568;W & C SAN JUAN ALMACENES S.A.C.;PRODUCTOS;AV.PAKAMUROS KM.20 SECTOR PUEBLO LIBRE JAEN(COSTADO DE MOLINO LOS ANGELES);yennygonzalezs@wcsanjuanalmacenes.com;-
60801;2021-03-12;CAJAMARCA;JAEN;JAEN;20570691806;G & V GESTION Y PROVISION DE ALIMENTOS EIRL;PRODUCTOS;CALLE MARIANO MELGAR 305;administracion@grupovasquez.com.pe;
60801;2021-03-12;CAJAMARCA;JAEN;JAEN;20603690916;CONSORCIO NEWGUER E.I.R.L.;PRODUCTOS;CALLE SAN ANTONIO N° 291 URB. VILLA MARIA;newguereirl@gmail.com;978998920
60905;2021-03-12;CAJAMARCA;SAN IGNACIO;NAMBALLE;20603717393;CONSORCIO LA FRONTERA;PRODUCTOS;AV. BINACIONAL S/N, NAMBALLE;mily_rj_mk@hotmail.com;952029138
80101;2021-03-12;CUSCO;CUSCO;CUSCO;20602905617;CONSORCIO ANDINO;PRODUCTOS;AV. Oswaldo Baca N°306 DPTO 401 URB. Magisterio;com.alimentos.sac@gmail.com;-
80104;2021-03-12;CUSCO;CUSCO;SAN JERONIMO;20602034519;EMPRESA CCORIMANYA ESCALANTE COMPANY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA-CCORESCO E.I.R.L;PRODUCTOS;FRACCION NRO. 5 SEC. LLOCLLAPATA ;ccoresco.ventas@gmail.com;
80108;2021-03-12;CUSCO;CUSCO;WANCHAQ;20602666850;CORPORACION INCAWALK S.A.C.;PRODUCTOS;URB. LA FLORIDA, PJE LOS KANTUS C-21;kkcorilazo@hotmail.com;84606650
80601;2021-03-12;CUSCO;CANCHIS;SICUANI;20490119893;AGROINDUSTRIAS NUTRIFORT EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;PRODUCTOS;PJ.NICOLAS DE PIEROLA N° 178;karmin2083@gmail.com;-
80601;2021-03-12;CUSCO;CANCHIS;SICUANI;20600838220;CONSORCIO CASA BLANCA;PRODUCTOS;Av. Confederación Nº 345.;grupocasablancacc@gmail.com;
100101;2021-03-12;HUANUCO;HUANUCO;HUANUCO;20573190549;CONSORCIO EL VALLE;PRODUCTOS;JR. LEONCIO PRADO 1708;inversionescalima.eirl@gmail.com;62281911
100101;2021-03-12;HUANUCO;HUANUCO;HUANUCO;20573259336;CONSORCIO GABRIEL;PRODUCTOS;PJ. AYANCOCHA N° 185;luis.davila.vivar.25@gmail.com;
100101;2021-03-12;HUANUCO;HUANUCO;HUANUCO;20601720494;GRUPO J Y M ALIMENTOS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;PRODUCTOS;JR. HUALLAYCO N°1536 ;jhonsg@hotmail.com;
100101;2021-03-12;HUANUCO;HUANUCO;HUANUCO;20602032320;CONSORCIO LA DESPENSA;PRODUCTOS; JR. 28 DE JULIO NRO. 1127 HUANUCO;inversionesproalmeqsac2020@hotmail.com;
100102;2021-03-12;HUANUCO;HUANUCO;AMARILIS;10224893146;CONSORCIO TOMAY KICHWA;PRODUCTOS;Jr. Yarowilca N° 118;consorciohonoria@gmail.com;-
100102;2021-03-12;HUANUCO;HUANUCO;AMARILIS;10461841908;CONSORCIO INTER REGIONAL;PRODUCTOS;AVENIDA INTER REGIONAL PASAJE LIMA MZA A LOTE 1;rosfm2020@gmail.com;-
100102;2021-03-12;HUANUCO;HUANUCO;AMARILIS;10708116306;CONSORCIO EL TREBOL;PRODUCTOS;URB. SANTA ELENA MZ. C LOTE 11 (SEGUNDA ENTRADA DE FONAVI II);consorcio.eltrebol@hotmail.com;-
100102;2021-03-12;HUANUCO;HUANUCO;AMARILIS;20601594383;CONSORCIO NAZARENO;PRODUCTOS;BQ SANTA MARIA DEL HUALLAGA LOTE 10 URB. SANTA MARIA DEL HUALLAGA (COSTADO RECREO MISTIKA);distribucionesbrylat@hotmail.com;62637253
100102;2021-03-12;HUANUCO;HUANUCO;AMARILIS;20601594383;DISTRIBUCIONES BRYLAT EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;PRODUCTOS;BQ SANTA MARIA DEL HUALLAGA LOTE. 10 URB. SANTA MARIA DEL HUALLAGA;distribucionesbrylat@hotmail.com;62637253
100102;2021-03-12;HUANUCO;HUANUCO;AMARILIS;20603139136;CONSORCIO SAN EXPEDITO;PRODUCTOS;JR. LOS TULIPANES 551 URB. PAUCARBAMBILLA AL FRENTE DEL 1ER PARQUE PAUCARBAMBILLA.;tormonqualitygroup2020@gmail.com;
100111;2021-03-12;HUANUCO;HUANUCO;PILLCO MARCA;10471658494;CONSORCIO R&S;PRODUCTOS;JR. LOS ALAMOS N°285 URB. CAYHUAYNA BAJA;molipan2006@hotmail.com;
100111;2021-03-12;HUANUCO;HUANUCO;PILLCO MARCA;20600972694;KANTASY GROUP S.A.C.;PRODUCTOS;JR. LOS PINOS NRO. S/N ;grupokantasy@hotmail.com;-
100601;2021-03-12;HUANUCO;LEONCIO PRADO;RUPA-RUPA;10229610053;JARA HARO BIRZAVIT;PRODUCTOS;JR. PUCALLPA N°235;birzavit.jara@hotmail.com;
110101;2021-03-12;ICA;ICA;ICA;10102239003;CONSORCIO ALIMENTOS B Y D;PRODUCTOS;CALLE COMERCIAL MZ. L LOTE 4 - RESIDENCIAL LA ANGOSTURA;evelynbl@hotmail.com;-
110206;2021-03-12;ICA;CHINCHA;GROCIO PRADO;10218353130;CONSORCIO TASAYCO;PRODUCTOS;BAR EL PORVENIR;genaro.tasayco1@gmail.com;
110501;2021-03-12;ICA;PISCO;PISCO;20494297117;CONSORCIO PISCO;PRODUCTOS;URB.LOTIZACION URBANA SANTA ROSA MZ I LOTE 15;inversionesadrianaeirl@hotmail.com;56530779
110508;2021-03-12;ICA;PISCO;TUPAC AMARU INCA;10448676345;CONSORCIO F Y M PISCO;PRODUCTOS;CALLE ATAHUALPA MZ. 40 LOTE 2;fernandocadilloica@hotmail.com;
120101;2021-03-12;JUNIN;HUANCAYO;HUANCAYO;20601545633;CORPORACION ALIMENTARIA HUANCAVELICA S.A.C.;PRODUCTOS;JR. GARCILAZO DE LA VEGA N° 275;robinsoncomun@proalfa.pe;
120107;2021-03-12;JUNIN;HUANCAYO;CHILCA;10201085344;LUNA ESCOBAR MIGUEL RUBEN;PRODUCTOS;Jirón Amazonas N 175;mige1977@hotmail.com;
120107;2021-03-12;JUNIN;HUANCAYO;CHILCA;20601725054;CONSORCIO NEGODAI;PRODUCTOS;CALLE REAL N° 2345;inversionesayhsrl@gmail.com;
120114;2021-03-12;JUNIN;HUANCAYO;EL TAMBO;10435532506;CASTRO YANGALI EDUARDO MACOTT;PRODUCTOS;PROLONGACION LIBERTAD N° 2760;mjgagom@gmail.com;-
120114;2021-03-12;JUNIN;HUANCAYO;EL TAMBO;20602636659;CONSORCIO MATEUS;PRODUCTOS;JIRON PIURA MZ. 22A LOTE 8 AA.HH. LA VICTORIA;doliksasrl@gmail.com;64245392
120125;2021-03-12;JUNIN;HUANCAYO;PILCOMAYO;20601784492;CONSORCIO MI CILITA;PRODUCTOS;AV. CORONEL PARRA  S/N ;produccioneswilqui@gmail.com;
120601;2021-03-12;JUNIN;SATIPO;SATIPO;20602681387;CADISEL SOCIEDAD ANONIMA CERRADA - CADISEL SAC.;PRODUCTOS;CARRETERA MARGINAL LA MERCED N° 2438 ;cadisel1234@gmail.com;
130101;2021-03-12;LA LIBERTAD;TRUJILLO;TRUJILLO;20481030227;CONSORCIO ONDAC;PRODUCTOS;CALLE JOAQUIN OLDEMO 249 URB. PALERMO;lacaserita007@gmail.com;938318450
130101;2021-03-12;LA LIBERTAD;TRUJILLO;TRUJILLO;20560170891;CONSORCIO DOEMS;PRODUCTOS;AV. EL EJERCITO 1008 URB. EL MOLINO;doemperu@gmail.com;943758122
130101;2021-03-12;LA LIBERTAD;TRUJILLO;TRUJILLO;20603883366;CONSORCIO MEGALOGISTICA;PRODUCTOS;b. URB. SEMI RUSTICA EL BOSQUE- AV. FEDERICO VILLAREAL MZ. T LT01;yekaeirl@gmail.com;949534091
130101;2021-03-12;LA LIBERTAD;TRUJILLO;TRUJILLO;20603883366;CONSORCIO NTPUMASAC;PRODUCTOS;la URB. SEMI RUSTICA EL BOSQUE- AV. FEDERICO VILLAREAL MZ. T LT01;yekaeirl@gmail.com;949534091
130103;2021-03-12;LA LIBERTAD;TRUJILLO;FLORENCIA DE MORA;20600934580;CORPORACION VIRGEN DE LA NATIVIDAD S.A.C.;PRODUCTOS;CAL.09 DE MAYO NRO. 1517 P.J. FLORENCIA DE MORA;vincorp2021@gmail.com;44571231
130105;2021-03-12;LA LIBERTAD;TRUJILLO;LA ESPERANZA;20482425616;AMERICA ALIMENTOS S.R.L.;PRODUCTOS;JR. BERNARDO OHIGGINS LOTE. 1999 DPTO. A P. J. PUEBLO LIBRE (PARQUE INDOAMERICANO);katherine.callan.serrano@gmail.com;4511683
130105;2021-03-12;LA LIBERTAD;TRUJILLO;LA ESPERANZA;20482425616;CONSORCIO AMERICA ALIMENTOS S.R.L.;PRODUCTOS;JR. BERNARDO OHIGGINS LOTE. 1999 - A;katherine.callan.serrano@gmail.com;4511683
130401;2021-03-12;LA LIBERTAD;CHEPEN;CHEPEN;20539034872;CONSORCIO LA AURORA;PRODUCTOS;MZ. D LOTE 03 PALMA BELLA;agropecuariadelpacifico.eirl@gmail.com;44726738
130401;2021-03-12;LA LIBERTAD;CHEPEN;CHEPEN;20603883668;CONSORCIO MUCHIK;PRODUCTOS;CALLE 01 MZ 5 LT 21 SECT HUANCHAQUITO ALTO;laaurorasac.75@gmail.com;44726738
140101;2021-03-12;LAMBAYEQUE;CHICLAYO;CHICLAYO;10732015596;SANCHEZ MUÑOZ MARIA ALCIRA;PRODUCTOS;CALLE IQUITOS 012 URB QUIÑONES;mariasanchezm161@gmail.com;
140101;2021-03-12;LAMBAYEQUE;CHICLAYO;CHICLAYO;20487710173;DULCEMANIA AUTOSERVICIOS S.R.L.;PRODUCTOS;Av. Luis Gonzales 1432;dulcemania.gerencia@gmail.com;
140106;2021-03-12;LAMBAYEQUE;CHICLAYO;LA VICTORIA;20561108014;KAYA DISTRIBUIDORES S.A.C.;PRODUCTOS;Av. Victor Raul N°1552;cevergel@gmail.com;74325903
140106;2021-03-12;LAMBAYEQUE;CHICLAYO;LA VICTORIA;20570691717;CONSORCIO VICTORIO;PRODUCTOS;CALLE RAUL JIMENEZ CHAVEZ 475;gerencia@grupovasquez.com.pe;74775280
140106;2021-03-12;LAMBAYEQUE;CHICLAYO;LA VICTORIA;20570691717;PRODUCTOS Y SERVICIOS V&A EIRL;PRODUCTOS;CALLE RAUL JIMENEZ CHAVEZ 475;gerencia@grupovasquez.com.pe;74775280
140301;2021-03-12;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;20487593941;CONSORCIO TROPICAL;PRODUCTOS;CARRETERA PANAMERICANA NORTE KM 778;tropicalworld1@gmail.com;
140311;2021-03-12;LAMBAYEQUE;LAMBAYEQUE;SAN JOSE;20601572568;COMERCIO INDUSTRIA Y SERVICIOS GMV E.I.R.L.;PRODUCTOS;FUNDO SAN MANUEL KM 3-SECTOR LAS PAMPAS;consorciocentrop@gmail.com;74211305
150102;2021-03-12;LIMA;LIMA;ANCON;20600855388;CONSORCIO IZAMM;PRODUCTOS;CAL. LAS TEMPERATURAS MZA. H LOTE. 04 Z.I. PARQUE INDUSTRIAL DE ANCON (A 2DA CUADRA DEL PARQUE INDUSTRIAL) ;Inv.zamm@hotmail.com;
150103;2021-03-12;LIMA;LIMA;ATE;20502503180;NIISA CORPORATION S.A.;PRODUCTOS;AV. LA MAR 568 ASC.LOT.INDUSTRIAL LA MOLINA;corp.niisa.qw@gmail.com;3480624
150103;2021-03-12;LIMA;LIMA;ATE;20555287560;INVERSIONES ROJAS O. SOCIEDAD ANONIMA CERRADA - INVERSIONES ROJAS O. S.A.C.;PRODUCTOS;AV SIMON BOLÍVAR MZ J LOTE 23 - 2DO Y 3ER PISO ASOC. PROP. DEL PARQUE INDUSTRIAL EL ASESOR;rojasfe@inversionesrojas.com;
150103;2021-03-12;LIMA;LIMA;ATE;20601705941;CONSORCIO ENERGY FOODS CORPORATION;PRODUCTOS;CALLE ANKARA MZ E1 , LT 06 URB. LOS PORTALES DE JAVIER PRADO II ETAPA;elfer906_72@hotmail.com;1641513
150106;2021-03-12;LIMA;LIMA;CARABAYLLO;20604827877;CONSORCIO COALPE;PRODUCTOS;n URB. SANTO TOMAS DE CARABAYLLO MZ. L LOTE 20;Grupocoalpe@gmail.com;16874539
150110;2021-03-12;LIMA;LIMA;COMAS;10329791390;CONSORCIO LIMA;PRODUCTOS;CALLE LOS NISPEROS N°151, MZ G-1, LOTE 07, URB LA ALBORADA - II ETAPA;alimentosavq@gmail.com;43602685
150110;2021-03-12;LIMA;LIMA;COMAS;10400376447;CONSORCIO JIMAR;PRODUCTOS; CALLE 3 C MAZ G LOTE 1 URB LA HACIENDA;jimar.gove.2020@gmail.com;15367607
150110;2021-03-12;LIMA;LIMA;COMAS;10402518133;CRUZ JIMENEZ GIOVANA MARIA;PRODUCTOS;AV. 22 DE AGOSTO 996 URB. SANTA LUZMILA II ETAPA;cjgiovanamaria1@gmail.com;6366048
150115;2021-03-12;LIMA;LIMA;LA VICTORIA;10096070263;CONSORCIO WAYRA;PRODUCTOS; AV. PALERMO 588 ;info@wayra.com.pe;
150117;2021-03-12;LIMA;LIMA;LOS OLIVOS;20565424182;CONSORCIO NUTRIWIKAS;PRODUCTOS;JR. AMBAR MZ O LT 2-3 URBANIZACIÓN MARISCAL GAMARRA;industriaswicasaeirl@gmail.com;5213103
150117;2021-03-12;LIMA;LIMA;LOS OLIVOS;20601688965;CONSORCIO COMAS;PRODUCTOS;URB. LOS NARANJOS III ETAPA AV. HUANDOY MZ E3 LOTE 72;consorciocomas6@gmail.com;984770588
150117;2021-03-12;LIMA;LIMA;LOS OLIVOS;20601735751;CONSORCIO ISCA;PRODUCTOS; JIRON LOS CASTAÑOS 1137 URB. COVIDA ETAPA 3 ;gj-trujillo@hotmail.com;-
150117;2021-03-12;LIMA;LIMA;LOS OLIVOS;20602429556;CONSORCIO GJ;PRODUCTOS;JR. CARAZ 912 URB. MERCURIO;gj_corporation@hotmail.com;-
150117;2021-03-12;LIMA;LIMA;LOS OLIVOS;20603432712;ORGANIC FOOD COMPANY E.I.R.L.;PRODUCTOS;JR. SANTA ELENA NRO. 232 - URB. SANTA ANA;organicfoodcompany.eirl@gmail.com;
150117;2021-03-12;LIMA;LIMA;LOS OLIVOS;20605052097;LIGHT FOOD COMPANY SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA-LIGHT FOOD COMPANY S.R.L.;PRODUCTOS;JR. SANTA ELENA N° 232A - URB. SANTA ANA;lightfoodcompany.srl@gmail.com;-
150118;2021-03-12;LIMA;LIMA;LURIGANCHO;10435532506;CONSORCIO CENTRAL;PRODUCTOS;AV. CIRCUNVALACION MZ. B 2 LOTE 8 URB. LA CAPITANA C.P. SANTA MARIA DE HUACHIPA ;mjgagom@gmail.com;-
150125;2021-03-12;LIMA;LIMA;PUENTE PIEDRA;10753936403;CONSORCIO 3R;PRODUCTOS;CAL. SALVADOR DALIMZ. H-1, LOTE 10, URB. EL ASESOR I;consorcio3r@gmail.com;
150125;2021-03-12;LIMA;LIMA;PUENTE PIEDRA;20486527197;CONSORCIO LAS DELICIAS;PRODUCTOS; CALLE LOS NOGALES 142 URB. SHANGRILA;inalseeirl2020@gmail.com;
150125;2021-03-12;LIMA;LIMA;PUENTE PIEDRA;20554871896;CONSORCIO SOAN;PRODUCTOS;CALLE LOS CEDROS 489 URB. SHANGRILA;soan_agroalimentos@hotmail.com;15575198
150130;2021-03-12;LIMA;LIMA;SAN BORJA;10104772612;LOPEZ MENDOZA MERCY DIANA LISSETTE;PRODUCTOS;AV. SAN BORJA NORTE 1455 DPTO 201;mercydianalissette.2020@hotmail.com;
150132;2021-03-12;LIMA;LIMA;SAN JUAN DE LURIGANCHO;10101160969;CONSORCIO VITAL FOOD;PRODUCTOS;MANZANA C LOTE 03 COOP. AGUAS GASIFICADAS;violetablas21@gmail.com;
150132;2021-03-12;LIMA;LIMA;SAN JUAN DE LURIGANCHO;10410733183;CONSORCIO JB INVERSIONES;PRODUCTOS;COOPERATIVA AGUAS GASIFICADAS MZ. A LOTE 10 - CAMPOY;jblas604@gmail.com;16874539
150132;2021-03-12;LIMA;LIMA;SAN JUAN DE LURIGANCHO;10458305051;CONSORCIO CM INVERSIONES;PRODUCTOS;JR. MIGUEL GRAU 333 COOP. DANIEL ALCIDES CARRIÓN. CAMPOY;castillocamposerika@gmail.com;12700900
